Text,thisN,thisTrialN,thisRepN,BJW_slider.response,BJW_slider.rt,BJW_slider.history,w1,w2,corr_answ,op1,op2,xPos1,yPos1,xPos2,yPos2,or1,or2,time,resp_tren.keys,resp_tren.corr,resp_tren.rt,resp_tren.duration,resp.keys,resp.corr,resp.rt,resp.duration,q_sl,sl_h.response,sl_h.rt,sl_h.history,BJW_trials.thisRepN,BJW_trials.thisTrialN,BJW_trials.thisN,BJW_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,loop_L.thisRepN,loop_L.thisTrialN,loop_L.thisN,loop_L.thisIndex,l_slid.thisRepN,l_slid.thisTrialN,l_slid.thisN,l_slid.thisIndex,thisRow.t,notes,Main_instr.started,main_instr_text.started,main_instr_key.started,Main_instr.stopped,main_instr_key.keys,main_instr_key.rt,main_instr_key.duration,instr_BJW.started,BJW_inst_text.started,BJW_key_resp.started,instr_BJW.stopped,BJW_key_resp.keys,BJW_key_resp.rt,BJW_key_resp.duration,BJW.started,BJW_text.started,BJW.stopped,BJW_trials.BJW_slider.response,BJW_trials.BJW_slider.rt,BJW_trials.BJW_slider.history,instr.started,instr.stopped,resp_instr.keys,resp_instr.rt,resp_instr.duration,instr_2.started,text_3.started,key_resp.started,instr_2.stopped,key_resp.keys,key_resp.rt,key_resp.duration,tren.started,pol_1.started,pol_2.started,text_tren.started,tren.stopped,trials.resp_tren.keys,trials.resp_tren.corr,trials.resp_tren.rt,trials.resp_tren.duration,fb_tren.started,text_fb_tren.started,fb_tren.stopped,text_fb_tren.stopped,instr3.started,instr3.stopped,reesp_instr.keys,reesp_instr.rt,reesp_instr.duration,task_L.started,resp.started,task_L.stopped,loop_L.resp.keys,loop_L.resp.corr,loop_L.resp.rt,loop_L.resp.duration,fb_task.started,fb_task.stopped,corr_sum,mean_rt,sd_rt,resp.stopped,slider.started,sl_h.started,text_sl.started,slider.stopped,l_slid.sl_h.response,l_slid.sl_h.rt,l_slid.sl_h.history,fin_sum.started,text_5.started,key_resp_2.started,text_5.stopped,key_resp_2.stopped,fin_sum.stopped,key_resp_2.keys,Get_points.started,key_resp_3.started,name,gender,ag,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,3,3,0,,,,0.16,0.15,left,0.17,0.7,-0.3,-0.22,0.3,0.18,6,47,1.0,right,0,0.4306847919942811,None,,,,,,,,,,,,,0,3,3,1,,,,,,,,,11.795614500006195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.785490124952048,11.795614500006195,11.795614500006195,11.795614500006195,12.229816083970945,right,0,0.4306847919942811,None,12.231920458958484,12.240842374972999,12.727032624999993,12.739024458976928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h39.08.098,4_calibr_sum,,2025.1.1,121.52637069995284,2025-12-30 18h39.19.982683 +0400,
,4,4,0,,,,0.21,0.22,right,0.54,0.22,-0.2,0.21,0.2,0.18,37,7,1.5,right,1,0.4988334579975344,None,,,,,,,,,,,,,0,4,4,3,,,,,,,,,12.739024458976928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.728044166986365,12.739024458976928,12.739024458976928,12.739024458976928,13.245337458967697,right,1,0.4988334579975344,None,13.247198499972,13.256766417005565,13.743016249965876,13.752699541975744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h39.08.098,4_calibr_sum,,2025.1.1,121.52637069995284,2025-12-30 18h39.19.982683 +0400,
,5,5,0,,,,0.22,0.23,right,0.15,0.5,-0.2,0.15,0.2,-0.18,45,3,1.5,right,1,0.9706160000059754,None,,,,,,,,,,,,,0,5,5,4,,,,,,,,,13.752699541975744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.74344041699078,13.752699541975744,13.752699541975744,13.752699541975744,14.738806124951225,right,1,0.9706160000059754,None,14.738948791986331,14.749729542003479,15.235987666994333,15.24492162495153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h39.08.098,4_calibr_sum,,2025.1.1,121.52637069995284,2025-12-30 18h39.19.982683 +0400,
,6,6,0,,,,0.17,0.16,left,0.3,0.18,-0.3,-0.2,0.3,0.2,5,45,1.0,right,0,0.5890232920064591,None,,,,,,,,,,,,,0,6,6,2,,,,,,,,,15.24492162495153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.236715874983929,15.24492162495153,15.24492162495153,15.24492162495153,15.839526333962567,right,0,0.5890232920064591,None,15.841229666955769,15.852053499955218,16.336681541986763,16.34487245895434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h39.08.098,4_calibr_sum,,2025.1.1,121.52637069995284,2025-12-30 18h39.19.982683 +0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.33690520899836,19.638461583992466,space,3.289391791971866,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h39.08.098,4_calibr_sum,,2025.1.1,121.52637069995284,2025-12-30 18h39.19.982683 +0400,
,0,0,0,,,,0.13,0.14,right,0.46,0.25,-0.2,0.2,0.2,-0.2,10,25,1.0,,,,,right,1,0.8802333329804242,None,,,,,,,,,,,,,0,0,0,14,,,,,19.667271583981346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.656275124987587,19.667271583981346,20.55412216699915,right,1,0.8802333329804242,None,20.55688916699728,20.852379208954517,1,0.8802333329804242,0.0,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h39.08.098,4_calibr_sum,,2025.1.1,121.52637069995284,2025-12-30 18h39.19.982683 +0400,
,1,1,0,,,,0.14,0.13,left,0.15,0.5,-0.3,0.21,0.3,0.18,45,5,0.5,,,,,None,0,,,,,,,,,,,,,,,0,1,1,0,,,,,20.86274724995019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.85360375000164,20.86274724995019,21.35189662495395,None,0,,,21.354156333953142,21.64530566695612,1,0.8802333329804242,0.0,21.36114379198989,,,,,,,,,,,,,,,,,,,,2025-12-30_18h39.08.098,4_calibr_sum,,2025.1.1,121.52637069995284,2025-12-30 18h39.19.982683 +0400,
,2,2,0,,,,0.18,0.17,left,0.4,0.19,-0.3,0.2,0.3,-0.2,45,5,0.7,,,,,None,0,,,,,,,,,,,,,,,0,2,2,6,,,,,21.656555541965645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.64656083396403,21.656555541965645,22.344207333982922,None,0,,,22.344326916965656,22.635692916985136,1,0.8802333329804242,0.0,22.35269679198973,,,,,,,,,,,,,,,,,,,,2025-12-30_18h39.08.098,4_calibr_sum,,2025.1.1,121.52637069995284,2025-12-30 18h39.19.982683 +0400,
,3,3,0,,,,0.16,0.15,left,0.17,0.7,-0.3,-0.22,0.3,0.18,6,47,1.5,,,,,None,0,,,,,,,,,,,,,,,0,3,3,20,,,,,22.643124208960216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.63638791698031,22.643124208960216,24.12673191697104,None,0,,,24.12681954196887,24.42070637497818,1,0.8802333329804242,0.0,24.134799333987758,,,,,,,,,,,,,,,,,,,,2025-12-30_18h39.08.098,4_calibr_sum,,2025.1.1,121.52637069995284,2025-12-30 18h39.19.982683 +0400,
,4,4,0,,,,0.15,0.14,left,0.8,0.16,-0.3,0.15,0.3,-0.18,30,15,0.5,,,,,right,0,1.699509875033982,None,,,,,,,,,,,,,0,4,4,1,,,,,24.42888783395756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.4214652919909,24.42888783395756,24.429690458986443,right,0,1.699509875033982,None,24.432543959002942,24.72802449995652,1,1.2898716040072031,0.40963827102677897,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h39.08.098,4_calibr_sum,,2025.1.1,121.52637069995284,2025-12-30 18h39.19.982683 +0400,
